movie,sentence,score
탑건: 매버릭,대학교 1학년때 봤던 영화를 50대 중반이 되어 대학생 아들과 봤습니다.  톰 형님은 여전하시네요. 영화는 모든 면에서 최고입니다.,10
탑건: 매버릭,안봤는데 일단 만점준다,10
탑건: 매버릭,탑건 1의 기억이 떠올라 좋고이런류의 영화를 좋아하고탐형을 좋아하고..영화음악이 좀 웅장했음 좋았을거 같긍..4d로 보는거 추천..,10
탑건: 매버릭,톰형이 늙는다는게 싫어지네또 다시 이런 영화가 나올수 있을까?기꺼이 한번 더 보러 영화관에 가야겠다~~^^,10
탑건: 매버릭,최고네요 진짜 진짜 진짜,10
탑건: 매버릭,1탄의 추억이 있는 사람들 이라면 ...,8
탑건: 매버릭,최고의영화 또 보러 갑니다,10
범죄도시2,범죄도시1은 현실세계범죄도시2 특히 싸울때는 마블 길가메쉬가 나와서 손석구 줘 팸,8
마녀(魔女) Part2. The Other One,"마녀1 돌리도~ 전반은 지루, 후반은 소림축구, 여주인공은 도대체 무슨 연기를 한 것일까....",5
탑건: 매버릭,가슴이 웅장해짐. 낭만!,10
탑건: 매버릭,요즘 히어로물이 넘쳐나는 헐리우드영화에서 정말단비같은영화 시작할때 탑건음악나오면서 항공모함위에서 수신호넣는모습에 옛생각에 소름이돋았음 전체적으로도 너무 재밌는영화,10
마녀(魔女) Part2. The Other One,너무재밌어요!!!!,10
불도저에 탄 소녀,여주가 연기를 잘 하네요....마지막 불도저로 음식점을 부셔버리고 최회장 집까지 불도저로 밀어버리려 했을 때는 압권이었습니다.여주의 여전히 씩씩함으로 영화를 마무리해서 더 좋았습니다.,9
네번의 결혼식과 한번의 장례식,2022년 6월 26일 EBS 시청 중이신 분들,10
탑건: 매버릭,역쉬! 명불허전 톰 크루즈!10점 만점에 10점,10
닥터 스트레인지: 대혼돈의 멀티버스,마블 유니버스의 시스템 ? 에 대하여 사전 정보가 있어야 합니다&amp;#39; 완다비전 &amp;#39; 과 연계되는 이야기라는 점에서 확실히 불친절한 영화라는 것은 명확합니다감독인 샘 레이미의 팬 이라면 좀 더 재미 있을 것 같아요,9
탑건: 매버릭,순간 내가 파일럿이 된듯한 쫄깃함울 느꼇내오랜만에 재미있는 영화 본것같습니다,10
탑건: 매버릭,오늘 봤는데...역시 탐크루즈네요^^,10
탑건: 매버릭,과하게 욕심 부리지 않는 이야기가 좋다.더욱 더 훌륭한 비행장면과 전편처럼 영상에 잘 어울리는 음악들이 좋다.,9
탑건: 매버릭,말이필요없다  30년 넘긴 이유가있었네,10
탑건: 매버릭,지금껏 본 외화중 넘버원36년의 공백을 뛰어넘는 스토리,10
탑건: 매버릭,나이를 먹어가는 톰형님의 연기라서 그런지 36년후의 메버릭 연기가 더욱 와닿네요 눈빛만 봐도 감동입니다 톰의 영화 인생이 언젠가 끝나겠지만 오늘은 아닙니다.,9
탑건: 매버릭,브라보 10점만점에 10점,10
탑건: 매버릭,1편보다 재미있습니다,10
닥터 스트레인지: 대혼돈의 멀티버스,넘  재미있게 봤어요..스토리부터 영상미 완전 대박요.,10
범죄도시2,좀 잔인한 장면이 많다. 마동석은 앞으로 확고한 주연으로 자리잡을 듯. 연기가 밉상이 아님.,6
상사부일체,"하,,, 공공의적 생각나서 성재형 좋은 점수 준다",7
탑건: 매버릭,굳굳룯굳굳구두굳    손에 땀을 쥐게 만든 영화,10
탑건: 매버릭,"이미 10번째 내한한 탐형은 30번,40번 더 오고 싶다며 영화대사를 인용해 &amp;#34;U complete me&amp;#34;라고 하는데 가슴이 먹먹하더라고요.탑건2는 19년 촬영 종료라 각자의 스케줄들로 바쁜 시간을 보내던 배우들은  &amp;#34;한국은 다같이 가야한다&amp;#34;는 탐형의 한마디에 부부동반으로 온 마일스 텔러,한국전 참전용사를 할아버지로 둔 글렌 파월,시종일관 분위기 메이커 그렉 타잔 데이비스, 케이하트 전도사 제이 엘리스, 그리고 이 모든걸 가능하게 해주신 제작자이자 드림 기버 제리 브룩 하이머!!!감사합니다.N차 관람으로 보답하겠습니다.",10
탑건: 매버릭,앞으로도 길이 회자될 영화,10
탑건: 매버릭,진짜 미쳤네요. 올해 본 영화 중 최고입니다.다들 극장에서 꼭 보세요. 후회안합니다. 너무 벅차고 감동적이네요.,10
탑건: 매버릭,진짜 미쳤네요. 올해 본 영화 중 최고입니다.다들 극장에서 꼭 보세요. 후회안합니다. 너무 벅차고 감동적이네요.,10
탑건: 매버릭,전율 그 자체... 울었네요 감동,10
마녀(魔女) Part2. The Other One,평점이 낮아서기대 안했는데완전 재밌게 봤음!,10
탑건: 매버릭,탐크루즈는 정말 위대한 배우. 탑건의 감동을 매버릭으로 그대로 이어버리네^^,10
어부바,하..아무리 아역배우들이지만 다들 연기 너무들 못하네요아빠 삼춘 빼곤 연기 몰입 1도 안되고..쿠폰으로 본거라 봤지 돈내고 봤음 진짜 돈 아까웠을듯요 실망이에요,2
탑건: 매버릭,군필이라 그런가 가슴이 웅장해진다,10
마녀(魔女) Part2. The Other One,재미없단 평 많았는데 시원한액션씬이 어쨌든 내맘엔 ㅋ쏙 ㅎㅎㅎㅎ 빨리 3편보구싶다..  깊은생각없이 시원한씬보기 좋음. ㅎㅎ,10
탑건: 매버릭,이런 영화보라고 극장이 있는거임ㅎㅎ,10
탑건,지린디 꼭 봐야한다..,10
탑건: 매버릭,그냥 옛생각에 행복했고 그냥 뭉클했고그냥 간지나고,10
탑건: 매버릭,기대를 많이하고 갔는데도 굉장히 인상이 남네요초딩딸아이도 너무 재미있었다네요전반적으로 화려한 cg보다 이런 현실적인 액션이 좋았고 편하고 기분좋게 탑건 결말을 잘 맺은 영화로 오래 남을듯 합니다...꼭 극장가서 보세요,10
탑건: 매버릭,역쉬! 명불허전 톰 크루즈!10점 만점에 10점,10
이상한 나라의 수학자,"평이한 스토리, 평이한 연출",4
탑건: 매버릭,전편보다는 못하지만 그래도 역시 탑건이었다. 울었잖아..ㅜㅠ,9
탑건: 매버릭,처음부터 끝까지 재밌는 영화입니다,10
탑건: 매버릭,인생영화입니다 꼭 보세요~,10
탑건: 매버릭,4dx로 한번 더 봐야겠다고 생각할만큼 재밌어요,10
탑건: 매버릭,아주 재밌게 봤습니다~,10
그대가 조국,개빡칠거 같아서 못보겟다. 평만 남긴다.,10
탑건: 매버릭,아 만점 이상을 줄 수가 없어서 아쉽다,10
연인프라이데이,아 ㅋㅋㅋㅋ 재밌음 ㅋㅋㅋ,9
탑건: 매버릭,스케일 어마마한 영화.첫 장면부터 우아~~일반 스크린으로 보는 거 조금 후회다시 imax으로 보려고,10
탑건: 매버릭,대박대박대박대박대박,10
닥터 스트레인지: 대혼돈의 멀티버스,뇌절 뇌절 뇌절 뇌절 뇌절,5
탑건: 매버릭,이게 할리우드 클래스라는것을 느낄 수 있는 영화톰크루즈와 할리우드가 아니면 아무도 제작할 수 없는 영화,10
탑건: 매버릭,왜 톰크루즈가 여전히 영화계 아이콘일 수 있는지를 보여주는 영화라고 생각해요! 4D나 아이맥스로 재관람 하려 합니다. 강추,10
마녀(魔女) Part2. The Other One,역시 모든 건 시즌1이 제일 나음,1
탑건: 매버릭,재밌게 잘 봤어요!  톰아저씨 좋아용,10
탑건: 매버릭,꼭 보시오~~~ 너무 멋있음,10
닥터 스트레인지: 대혼돈의 멀티버스,재밌엉숑,9
탑건: 매버릭,"톰아저씨,의리로간건데..생각보다 넘 좋았습니다.꼭 큰화면.이왕이면 4DX",10
탑건: 매버릭,아무 말 필요 없습니다 꼭 보시길,10
탑건: 매버릭,극장에서 안보면 평생 후회할 영화,10
탑건: 매버릭,very very good,10
탑건: 매버릭,전투기 액션이 좋고 재밌음,10
탑건: 매버릭,늙어도 존나 멋있네 탐형이랑 같은세기에 사는게 행운이라는 생각이듬 상업영화의 끝 이게 바로 영화다,10
탑건: 매버릭,최고너무너무재밋음ㅎㅎ,10
탑건: 매버릭,올해 최고의 영화입니다,10
브로커,"100만이 넘었네…;; 이야~ 이정도면 성공이다. 칸에서 상탔다고, 이걸 봐야한다고 생각한 단순한 관객들이 100만명이 넘는다니… ㅋㅋㅋ 출품용 영화는요~ 단편은 감독의 자위고, 장편은 제작자 자위에요. 절대 재미있을 수가 없어요. 우리가 즐기는 오락 영화가 아닙니다. 어느 대단한 사람이 연출하고, 어느 대단한 배우가 나오던지 결코 만족하는 재미있는 오락은 아니라고요. 영화는 먹고사는 문제이지, 예술의 문제가 아닙니다. ㅎㅎㅎ",1
버즈 라이트이어,앤디가 된 기분이었어요 버즈가 왜 앤디의 최애 장난감이었는지 이해가능!,7
탑건: 매버릭,클리셰가 아닌 클래식.명작 그 자체,10
탑건: 매버릭,스토리는 뻔하지만 스토리빼곤 완벽함,10
탑건: 매버릭,배우들이 실제로 전투기를 타서 그런지 몰입도가 엄청남.. 손에 땀나면서 봤음. 이것저것 따져가며 보는 영화가 아니라 그냥 빠져드는 진짜 영화였음. 강추!,10
탑건: 매버릭,말해 뭐하겠나.. 직접봐라...,10
탑건: 매버릭,영화 만들어줘서 감사합니다 최고에요,10
탑건: 매버릭,일단 옛날 아마겟돈 영화 생각나네요 전 영화 확실히 끌렸던 부분이 영상미와 OST 진짜 죽이네요!!!스토리 기승전결 확실하고 연기도 진짜 너무 잘하셔서 몰입감있게 본 것 같아요 ㅎㅎ,10
탑건: 매버릭,이게 할리우드 블록버스터지,10
탑건: 매버릭,끝내줌.최고.너무 재미 있습니다,10
탑건: 매버릭,그저 완벽한 영화입니다,10
탑건: 매버릭,띵작은 극장에서 봐야 합니다꼭 보시길~,10
탑건: 매버릭,좋아요. 좋아요. 좋아요. 성심,10
탑건: 매버릭,형 사랑해요 정말 가슴이 웅장해집니다,10
탑건: 매버릭,이게 영화디... 이게 영화야...,10
맘마미아!,내 스타일은 아닌 것 같다..,4
극장판 윌벤져스 : 수상한 캠핑 대소동,완전 잼남요 감동도있고 윌벤 상상되서 너무 좋았음요,10
탑건: 매버릭,이렇게 긴장하고본 영화는 처음이네요,10
이상한 나라의 수학자,최민식을 가져다 놓고 똥을 만듬,2
탑건: 매버릭,이렇게 재밌을수있나요? 스토리 영상미 끝내줍니다.. 2시간내내 조종석에 앉은기분.3D로 다시볼겁니다,10
서복,서복이랑 마녀랑 싸우면 누가이길까,10
극장판 윌벤져스 : 수상한 캠핑 대소동,아이랑 함께 보기 딱 좋네요^^감동적이기까지~~~추천합니다.,10
탑건: 매버릭,완벽하다 이한마디로끝,10
탑건: 매버릭,"간만에 정말 간만에 나온 극장 주의 영화톰아저씨의 진가, 꼭 극장에서 관람할것!",10
니 부모 얼굴이 보고 싶다,설경구가 다하네. 그냥 움직임에서도 그 역할이 보임.,10
탑건: 매버릭,최곱니다. 실망시키지않네요.,10
감동주의보,"가벼운 TV드라마 정도로 볼 수 있는 영화,,, 사실 관전포인트를 찾기 애매한 영화다 ㅜㅜ 2018년 평창올림픽 팀킴 컬링의 감동(?)을 떠올리고 싶다면 기대없이 한번쯤 볼 수 있는 영화, 개인적으로 네이버 평점이 생각보다 높게 나타나는게 놀랍다,,,,",7
탑건: 매버릭,영광이었습니다 대령!!,9
탑건: 매버릭,오랜만에 영화보면서 행복했다,10
탑건: 매버릭,역시는 역시다! 나이는 숫자에 불과하다의 전형,10
범죄도시2,범죄도시1보단 조금 덜무거운 느낌이고 웃음포인트가 더 많아서 잔인하지만 유쾌하게봤어요. 부모님도 보여드렸는데 시간가는지몰랐다고 하네요,10
쥬라기 월드: 도미니언,킬링 타임정도..다소 아쉽네요.. 기대를 너무했나봐요,5
니 부모 얼굴이 보고 싶다,현실성있게 잘 풀어낸듯. 억지스러운 반전도 없어서 오히려 더욱 와닿고 좋앗습니다.,9
탑건: 매버릭,스피드를  좋아하는 사람이라면 공감할수밖에 없는 영화다 ~~~쵝오!!,10
닥터 스트레인지: 대혼돈의 멀티버스,스포 없이 쌩 봤다가 이게 무슨..완다한테 왜 그래. 재미는 있으니까 별점은 줍니다,10
탑건: 매버릭,존나 재밌다 보는 내내 생각했다 존나 재밌다 존나 멋있다,10
탑건: 매버릭,머래여머래머머래머래,9
탑건: 매버릭,100점 주고 싶다 부족한게 없다~한번 더~~!!,10
탑건: 매버릭,너어어어어무 재밌어요! 보는 내내 지루할 틈 하나없이 영화가 빈틈없이 꽉꽉 차있었어요. 아이맥스로 보시는거 추천드려요! 전투기 4D 체험하는 기분이였어요. 탐크루즈는 여전히 멋있는배우 아 탑건 1편 못보셨다면 보고 가시면 좋아요,10
탑건: 매버릭,쌍욕도 없고 조폭도 없는 영화,10
탑건: 매버릭,오랜만에 자본주의 영화 맛 지대로 봄,8
탑건: 매버릭,오프닝 시작할 때부터 계속 눈물이 났다영화는 무척 훌륭했고 탐 크루즈는 존경스러웠다,10
탑건: 매버릭,이런게 영화다 간만에 영화다운 영화를 보았다!,10
탑건: 매버릭,톰형이 울어도 된다고해서 울었습니다,10
탑건: 매버릭,5000만 관객 동원 예약!!!!,10
탑건: 매버릭,오랫만에 영화다운 영화를 보았습니다 전작 찾아봐야겠네..,10
탑건: 매버릭,피곤한상태로 영화관 갔는데 시간가는줄 몰랐움... 꼭보셈 2번보셈,10
탑건: 매버릭,기대치 최고로 올려놓고 봐도 절대 실망하지 않는 명작! 전작을 뛰어넘는 후속작! 무조건 IMAX or 4DX로 보시길 강력 추천!,10
탑건: 매버릭,몇년간 본 영화 중 최고였다. 역시 탐형...! 실망을 시키지 않네요,10
탑건: 매버릭,이건 쓸수밖에없잖아 톰형!! 간동이엇어,10
브로커,결말이 약간 아쉽긴 했는데 배우들의 연기와 영상미로 한 번쯤은 볼만한 그런 영화.. 근데 차라리 이거 말고 다른 영화를 봤으면 더 좋았을 것 같ㄷ,7
탑건: 매버릭,오마주 나올때마다 광광 울려던 거 참음,10
탑건: 매버릭,최고의 영화입니다. 말이 필요없죠. 36년을 기다린 영화. 탐 크루즈를 있게 한 영화.,10
탑건: 매버릭,평점 넘 높다했는데 이유가 있었군.전투기 타봤어요 ㅎ,10
파 앤드 어웨이,혐관의 정석 보는 내내 로판 보는 것 같았다,10
코렐라인: 비밀의 문,겨울에 재개봉했으면 좋겠다ㅠㅠ,10
탑건: 매버릭,과거와 현재 교차하는 감동,10
마녀(魔女) Part2. The Other One,더도말고 한국판 엑스맨,7
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,마지막에 지우가 이기는게 좋았어요,10
버즈 라이트이어,삭스가 귀여웠다.... 삭스가 너무 귀여웠다...,6
마녀(魔女) Part2. The Other One,평점보고 갈등했으나 역시 직접보고 판단해야 할듯 나는 재미있게 관람했습니다 후속작품도 기대합니다,10
탑건: 매버릭,긴장의 끈을 놓칠 수 없음.,10
탑건: 매버릭,너~~~무 재밌었어요.,10
탑건: 매버릭,굿굿 ~~첨부터잼나는영화간만에괜찮은영화,10
마녀(魔女) Part2. The Other One,너무 3을 봐라하는 결말이다 보니 영화를 봤음에도 결말을 못본 거 같은 찝찝함이 있음,6
네번의 결혼식과 한번의 장례식,EBS 시청하고 계신 분,10
탑건: 매버릭,저 감상평 33년만에 처음 씁니다.아이맥스로 꼭 보세요..톰크루즈의 파일럿 명연기가너무 감동적이라 눈물이 많이 났네요.꼭 보세요,10
탑건: 매버릭,그냥 별다른 수식어 필요 없이 최고였음,10
탑건: 매버릭,아 지린다 지려 93년도에 비디오테이프로 보고 F-14 프라모델 만들고 TV에서 종종 나오면 멍하니 보던 영화였는데 이렇게 속편으로 나오다니딱봐도 90년대 학번 횽님들과 무언의 눈빛들을 주고 받고 착석할때의 그 웅장해짐이란,10
탑건: 매버릭,진짜 이 영화는 극장에서 봐야한다.. 기대 이상인 최고의 영화다…,10
탑건: 매버릭,1편의 매듭을 완벽하게 지은  마스터피스. 앤드게임의 감동을 탑건에서 받을줄이야,10
탑건: 매버릭,아 진짜 미쳤다 세번볼거다,10
탑건: 매버릭,왕 뻔한내용이라생각하고 다알고봤는데 가슴이웅장해졌음,10
마녀(魔女) Part2. The Other One,"짱 재밌는데 평점 왜 낮지,,",10
탑건: 매버릭,근래에 본 최고의 영화.,10
탑건: 매버릭,웅장하고 인생영화로꼽을만하다,10
탑건: 매버릭,진짜 오랜만에 모든게 만족스러운 영화,10
탑건: 매버릭,"음악,영상 모두 최고였어요 탐크루즈도 그때 그 모습 그대로 너무 멋있고 굉장한 배우라 생각드네요 4DX로 봤는데 영화내리기 전에 IMAX로도 한번 보고 싶어요 최고의 영화였어요",10
탑건: 매버릭,명불허전 탐 아저씨!!!,10
탑건: 매버릭,"톰 형, 굿잡!!! 코르나 지친 이들에게 이 영화를 추천한다. 짜릿, 긴장, 통쾌함으로 2시간이 순삭. 평점이 모든걸 말해준다.",10
모어,올해 본 영화중에 가장 사랑스러운 영화였습니다! 나중에 꼭 소장할래요,10
탑건: 매버릭,와... 두번 세번 봐도 좋을 것,10
탑건: 매버릭,스토리를 커버하는 영상미,10
브로커,담담하게 꾹담아 표현한 각자의 마음,10
더 비지트,이게 뭐지……. 아무것도 느낄 수 없는 영화…….,1
탑건: 매버릭,식은땀 줄 줄. 톰형 고마워.,10
탑건: 매버릭,너무 재밌다 감동 재미 둘다 잡은 영화,10
켄타우로스,보지마라 진짜 ㅅ ㅂ 내 시간 슈퍼쓰레기영화 칠광구보다 재미없음 ㄹㅇ,1
버즈 라이트이어,그냥 가볍게 볼만함,6
탑건: 매버릭,이런 영화를 보기 위해 영화관에 간다,10
탑건: 매버릭,아주 볼만한 영화였음 톰형 이제 미션에서 보아요~~,10
탑건: 매버릭,연출 연기 모두 훌륭했습니다감동도 있고 멋집니다!!,10
이상한 나라의 수학자,수학에 접근하는 방식이 삶에도 적용되어서 좋았습니다. 수학을 잘 몰라도 충분히 재밌게 볼 수 있고 여러가지 감명깊은 대사들도 있고 연기도 좋고 연출도 좋은 참 좋은 영화입니다. 보시고 힐링과 평안함을 얻으시길!,10
탑건: 매버릭,별이 10개면 별 10개 주고 싶네요~1초도 지루 하지 않은 영화 네요~~,10
탑건: 매버릭,음...그냥 별생각없이 보기엔 좋은데...전작도 막 크게 흥행한 건 아니라 그냥 볼만했어요,6
마녀(魔女) Part2. The Other One,유머도 긴장도 모두 놓친 마녀2~~  1은 그래도 신선한 맛이 있었는데 재미없고 부자연스런 욕만 가득함. 은빈씨 좋아하는 배우지만 인물로 어색함. 동생 연기 좋았지만 연기가 아니라 상황자체가 전반적으로 어색함. 300만 넘으면 초대박!,4
탑건: 매버릭,"배우의 품격, 후속편의 작품성, 리얼리즘의 영상미  모두 업그레이드한 2022 년 최고의 블록버스터!",10
탑건: 매버릭,그래 이정도는 돼야 9점10점 주는거지안녕.. 매버릭,10
탑건: 매버릭,흥미진진하고 긴장을 늦출수 없고 짜임새가 훌륭함,10
탑건: 매버릭,그냥 최고 그 자체 올해 본 영화 중 최고다 정말,10
탑건: 매버릭,그냥 보세요 두번보세요,10
탑건: 매버릭,영화 역사상 최고의 작품,10
탑건: 매버릭,넘 잼있네요  탑건3는 못보겠죠ㅠㅠ추억 돋네요,10
마녀(魔女) Part2. The Other One,더럽게 잔인하기만 하고 스토리는 개연성은 개나 줘버렸고 정리되지도 않았고 등장인물은 캐릭터성도 없고 매력도 없고 욕만 드럽게 많이 나오고 도대체 왜 봤나 싶음. 내 빼앗긴 표값과 2시간 내놔라 알바새끼들 개많네 짜증나게,2
못말리는 비행사,어릴적에 tv 에서 봤던 기억이 남아서 최근 개봉한 탑건 매버릭과 함께 추억소환으로 다시 찾아봤습니다. 그 시절 병맛돋는 패러디 짬뽕 코미디 극인데 의외로 완성도가 높네요. 지금봐도 특정 장면들은 패러디 버전임에도 불구하고 퀄리티가 상당하네요.,10
탑건: 매버릭,단 1초도 지루할 틈이 없었다.,10
탑건: 매버릭,진짜 올해 최고영화 전날 1편다시보고 조조봤는데 아짐부터 눈물이 주르륵 감동 몰입도 쵝ㅗ,10
탑건: 매버릭,하루를 살아도 어떻게 살아야할지 깨달았다,10
탑건: 매버릭,인생영화. 용산 아이맥스에서 꼭보시길. 톰크루즈 영화의 정수를 볼 수 있다.,10
탑건: 매버릭,평점처음해봅니다꼭영화관에서 보세요환갑설렘주의...,10
탑건: 매버릭,최근 봤던 영화뿐만 아니라 내가 살면서 본 영화 중 최고로 뽑을 수 있을 정도로 명작이다..,10
탑건: 매버릭,말이 필요없다. 무조건 극장각 아이맥스더추천,10
탑건: 매버릭,수 많은 호평이 납득이 되는 영화.,10
탑건: 매버릭,잠깐 항마력이 부족할 뻔 했지만 재밌음,8
탑건: 매버릭,어제 밤에 본.. 온 가족이 봤다. 그야말로 10점 짜리 영화 돈이 안 아까운 영화우리 10살짜리 아이도 즐거워한 영화..,10
탑건: 매버릭,마흔 넘어  역대급 영화 중에 한편에 속한 정도로 좋은 영화입니다 10점 준 영화는 3편 미만 입니다,10
탑건: 매버릭,"일단 OST가 50% 먹고 감.진부한 스토리, 진부한 전개.그런데 왜 또 보고 싶을까...",10
마녀(魔女) Part2. The Other One,3을 위한 예고편 느낌,6
오아시스,내가 장애인이 아니기 때문에 눈물 흘린다는것. 슬픈사랑을 보며 관조하는 내자신에 만족했다는 사실이 분하다. 초라한 사랑을 하는 이들에게 미안하다.,8
탑건: 매버릭,여잔데도 진짜 보면서 소름돋아서 울뻔했어요,10
탑건: 매버릭,몇회차를 관람하던 재미있다.,10
탑건: 매버릭,이건 영화가 아니다..절대!..이건 그냥 예술작품이다!.10점만점 그이상이있다면 당연 10점만점보다 높았을 예술작품이다..감동.재미..뭐 말이 필요없는 역사상 최소CG 작품이 이렇게 재미있을수가.안본사람이 바보다..그럼 중국은 상영조차안하니..바보들? 정말 정말 꼭 보시길! 영화는 이런거다!,10
탑건: 매버릭,테마곡이 나올때 전율과 후반부에 나온 톰캣이 반가웠음,8
탑건: 매버릭,감성을 살리다굿~~,10
탑건: 매버릭,이 영화는 레전드입니다진짜 꼭 보세요,10
탑건: 매버릭,진짜 이 형은 나이를 먹어도 미쳤다 아니 그냥 미쳤다 이건,10
탑건: 매버릭,어랏.. 나 왜 주책맞게 눈물이..?,10
탑건: 매버릭,감히 인생 영화라고 꼽는다,10
탑건: 매버릭,최고최고최고,10
탑건: 매버릭,"오래기다리셨습니다. 제대로 모시겠습니다 그 자체! 코로나로 인한 영화침체기가 길었는데 영화관이 점차 풀리고 가서 보기도 했지만 탑건 만큼 영화관에서  보는 즐거움을 알려준 작품은 오랜만이에요ㅠㅠ (이건 절대 집에서 보는게 아님)1편 안보고가도 이해는 가능하지만 보고 가는게 감동이 배가 됩니다~ 루스터 엄마 빙의해서 뭉클함,,  제주도 비행기 값 보다 싼 가격으로 비행기 태워줌 (오히려 좋아) 사운드 부터 배우들의 캐릭터 소화력 연기력 그리고 언제부터 cg에 대한 피로감을 느꼈는데 너네들 지쳤지? 제대로 보여줄게 이러면서 노그린 스크린으로 똭 들이대고 진짜 이게  우리가 할리우드의 웅장함을 느꼈던 그 느낌이지 싶었고 남의 나라 국뽕을 내가 느끼고 제복에 대한 패티쉬 밀덕 될것 같음,, 하여튼 굿굿!!!!",10
탑건: 매버릭,말이 필요없는 최고의 영화,10
스파이더헤드,영화가 아니라 그냥 시나리오 초안대로 대충 영상화한게 아닌지..,2
탑건: 매버릭,최근에 나온 영화들중 최고인거 같네요,10
탑건,와 탑건1보다 감동은 두배 멋짐두배!!!,10
탑건: 매버릭,이게 진정 영화다!!!!,10
탑건: 매버릭,이런 영화가 나와줘야 함,10
버즈 라이트이어,뭔가 2프로 빠진듯한... 픽사에 대한 기대치가 높아서 그랬나물론 삭스는 귀엽습니다,5
탑건: 매버릭,진짜 너무 재밌게봤어요.. 특히 후반부로 가면갈수록요 ..,10
탑건: 매버릭,평점 첨 써봄 인생영화될만큼 최고의 영화,10
