movie,sentence,score
니 부모 얼굴이 보고 싶다,10년 전에 원작 연극도 봤는데 영화로 각색하니 어쩔 수 없겠지만 학교폭력을 넘 적나라하게 보여주는 게 불편했다. 결말도 좀 작위적인 느낌. 그래도 10년 전이나 지금이나 이 문제가 시의성이 있다는 걸 보여준 점은 굿,7
공동경비구역 JSA,최고의 영화 또 보고 싶은 영화,10
문폴,잼있긴 한데 이감독님 중국을 왜케 좋아하는지,8
뜨거운 피,뭐 나쁘지도 그렇게 좋지도 않치만 볼만함.,7
더 컨트랙터,"웰메이드 액션무비, 스토리는 진지함 포스터거 너무 거지같아서 슬픈영화",9
300,"뇌 빼놓고 보기 적당한 영화. 이 영화에 감동을 받았다거나, 잘만든 영화다 싶으면 그냥 영화보지 말고 그시간에 책이나 한글자 더 읽는겅 추천.",1
베놈 2: 렛 데어 비 카니지,진짜 소니놈들..  이 좋은소재로 이런 영화라니 어후...,2
와이키키 브라더스,굉장히 와닿네요 슬픕니다,9
기방도령,"영화가 시도하는 대부분의 유머는 웃기에 민망할 정도로 유치하고 오글거려서 참고 보기 힘들다. “태을미” 장면은 명백히 실패이고, 개연성 없이 얄팍하게 만들어진 스토리는 어이가 없다.",3
신비한 동물들과 덤블도어의 비밀,배우들의 연기는 좋지만 스토리와 캐릭터가 너무 별로였어요.,6
문폴,"재미 있음, 강추함, wow!",10
앵커,천우희 배우님 연기 최고에요 ㅠㅠ,10
감기,스토리가 병맛. 치명적인 감기라는데 마스크 쓰는 꼬라지. 한심한 스토리와 엉성한 연기..그냥 웃음 만..ㅜㅜ,4
불도저에 탄 소녀,극중 김혜윤의 열연이 돋보인다. 스토리 또한 현실감을 많이 반영하면서 이질감 없이 몰입할 수 있었다. 다만 홍보가 전혀 되지 않아 대중에게 인식되지 않은 점이 안타깝다.,8
랜드,삶이란 무엇인지 풀어나가는 연출력이 돋보였습니다,8
마이 퍼스널 트레이너,성적 판타지로 쓴 각본과 연출에 답이 있을리가.,2
소나기,학교에서 잘 봤어요.감동적이에요,7
서울괴담,유치함... 너무 지루함 노잼,1
니 부모 얼굴이 보고 싶다,우려한 부분을 친절히도 담았다.,4
야차,2탄이 기대되요!평점이 왜낮은지 이해가안되네요~!,10
신비한 동물들과 덤블도어의 비밀,예고편은 무슨 최후의 전쟁을 시작한다는 듯 했으나 정작 영화는 선거운동 영화였고,6
나일 강의 죽음,아미해머는 스캔들 큰거 터졌는데도 영화에 계속 나오네,6
트라이얼 오브 더 시카고 7,정신 바딱 차려야 따라가는 영화,7
차우,볼만함 재밌어요 연출도 괜찮아요,6
니 부모 얼굴이 보고 싶다,연기력은 좋으나 스토리가 전체적으로 별로였음.,6
극장판 주술회전 0,2022년 최고의 선택,10
다키스트 아워,우린 결코 굴복하지 않습니다. 승리가 없으면 생존도 없기 때문입니다. 그의 신념이 모두의 신념으로 되는 과정!,8
벤자민 버튼의 시간은 거꾸로 간다,"나이를똑바로먹으나,거꾸로먹으나한인간의인생은아름답다.",9
올드,샤말란이 돌아왔다.!!,10
소셜포비아,결국 레나가 나중에  쓴악플은 해킹당한거잖아요 ㅠㅠ 첨엔 악플썼겠지만,10
이상한 나라의 수학자,편안하게 보는 영화..,5
경관의 피,너무 많이 욕심을 냈네요...좀 간결하면서 임팩트가 있으면 좋을텐데 아쉽다.,7
야차,"동아시아 관계가 감독의 정치성향을 들어내고 있긴하지만, 그래도 탄탄하게 잘 짜여있고 재밌음",10
정직한 후보,무비위크 이벤트로 1000원에 영화관에서 큰스크린으로 보니까 이렇게 만족스럽고 자지러지게 웃을 수가 없다. 간만에 너무 기분 좋게 관람한듯.,9
바스터즈: 거친 녀석들,이거 재미없다는 애들은 보통 친구 별로없고 연애경험 없고 농담도 진지하게 받아들이고 암튼 아싸같은 애들이 대부분 재미없다 하더라,8
부기나이트,저예산 독립영화치고 재미있게 봤네요 ㅋ스토리도 나름 웃김.. 이거만든 감독 세계관이 보이는듯 ㅋ 아무생각없이 보기 딱 좋음,8
장고:분노의 추적자,이거 재미없다고 하는 인간은 영화를 통해 반드시 무언가 얻어야만 한다고 생각하는 교훈충이거나 친구가 없어서 가벼운 풍자나 농담도 진지하게 받아들이는 아싸진지충 이거나 둘중하나,8
상류사회,역시나 감독 전라도가 고향이네 할배식당에 홍어 파는거 보고 알았다 보수당 한테 이용 당하고 피해의식 가득한 영화 감독의 정치성향은 확실히 알겠다,1
신비한 동물들과 덤블도어의 비밀,해리포터 마법사의 돌 밖에 안봤는데도 재밌게 봤어요 근데 중간에 잠깐 졸 수도 있음,10
만춘,"&amp;#34;잔잔한 서스펜스&amp;#34;란 말을, 홀연 떠올리게 하는 작품",9
공기살인,너무 너무 슬프네요얼른 해결되길…,10
씽2게더,눈과 귀를 사로잡을 자신감으로 무장.,7
니 부모 얼굴이 보고 싶다,그래도 이런 점 때문에 영화관에 갔었음을 상기시켜줌,9
신비한 동물들과 덤블도어의 비밀,정 때문에 챙겨보고있는데 돈 안쓴게 너무 티남... 짜증날정도로 대놓고 안써서 화가나네요.. 연출뭐없고 웅장함없고 동물은 나오지도않고 그냥 나중에 집에서 보십쇼들 ㅋㅋ 마지막에 돈 안쓴건 진짜 개열받 아 동물나오라고 ㅋㅋ,5
나비 효과,결말이 너무나 충격적이고 슬프네..,10
나비 효과,10개도 아깝다ㅜㅠ 존잼,10
서울괴담,영화보면서 나간 건 처음입니다 개노잼이여도 보는데,1
그해 여름,내 인생이 힘들때 언제나 당신과의 시간을 생각해요. 소중한 기억들 아름답게 기억해요.,10
더 킹,평점이 낮아서 올립니다,10
신비한 동물들과 덤블도어의 비밀,좋아. 점점 나아지고 있어!!!4편은 더 잘해봐!!,10
더 킹,조인성 정우성 연기 최악이네 ㅋㅋㅋ,1
서울괴담,아린이가너무귀엽다.,4
그물,아무리 고인이지만..범죄자 감독의 영화를..에혀..,2
인간중독,감정ㅇ하아... 배드신 그 들어가는 장면 딱 그 정도만 느낌이 좀 온듯하다,1
니 부모 얼굴이 보고 싶다,"학폭이라는 사회문제를 다룬 영화걸경구 혼자 끌고가는 영화.학폭이야기 외에 법정 영화라기에도, 서스펜스영화라기에도 많이 부족하고 개연성도 아쉬움천우희가 아까웠음",7
섹터 4,아프가니스탄을 혼자 무기를 찾아가며 싸운다고 화면은 왜이케 칙칙하고,4
뜨거운 피,걍 정우 영화임 닥추입니다 요거슨,10
서울괴담,평점이 낮길래 별 기대없이 봤는데 생각보다 무섭고 재밌다 근데 아린이랑 이수민 나오는 에피소드는 좀 롸?,8
불도저에 탄 소녀,생각보다 느낌이 있어요,10
니 부모 얼굴이 보고 싶다,코로나 이후 한국영화의 성공신호탄.,10
버블,두말이 필요없음 극장가서 큰화면으로 보고싶은 영화,10
투사부일체,"My Boss, My Teacher2006문서 저장하기전체 기본정보 감독/출연 평점 무비클립90",10
서울괴담,모든 배우 분들  연기  최고였어요   그리고  모든 퀄리티가  매우 좋았어요  비투비  이민혁 연기 너무  잘했어요  이민혁 연기 완전  실감있게 해서  너무 재미있게 보았습니다,10
중경삼림,양조위는 보면 볼수록 빠져드는 것 같다.,7
해치지않아,감동적인 줄거리와 연기가 좋다.,10
파이트 클럽,"진짜 네이버 영화평 되게 드럽네 메타크리틱,로튼토마토,IMDb 죄다 평좋고 명작으로 칭송하고 있는데 그리고 밑에 거품이니 과대평가니 하고있는놈 개보다 지능이 낮은 니대가리나 깨라",10
부기나이트,윤대갈이  원하는 세상을 이렇게 표현하나?  연기는 나쁘지 않은데 연출이 매끄럽지 않고 스토리가 개산만,6
야차,이거 대놓고 일본은 찐 스파이국 적으로 설정하고 중국과 북한은 우릴돕는 설정이 골때린다~사실은 그반대지~이런게 다 선동되는거다 팩트로 조져라 제발 드라마라도 중국빨고 북한빨지는 말자,1
멜리스,진짜 영화 못만들었네 차라리 프로파일링이 훨씬 재밌다니ㅉ 스토리도 그냥 실제사건 그대로 만드는게 나았을텐ㄷ니ㅣ,1
미이라,주말에 아이들과 보고 있는데요. 지금 봐도 정말 정말 재미있네요~^^,10
기도하는 남자,보는내내 불편했다 상황이 사람을 바닥으로 끌어내리는 이 세상의 부조리..그럼에도 어머니의 하나님같은 사랑과 희생이..,10
더 컨트랙터,기억나는 내용이 총 밖에 없어요..내용이 너무 충격적이고 아직 안보신분들은 안보시는걸 추천할게요..5월에 나오는 재밌는 영화보세욥,1
불도저에 탄 소녀,마지막 마무리가 존나 찝찝함,2
서울괴담,스토리가 다 유치하고 별로임,1
에볼루션,방금 경인 tv에서 해 주어서 보았는데 2001년도 영화이네..데이빗 듀코비니 줄리안 무어 옛날 영화라 그런지...그리썩 재미있지도  재미없지도 않은 영화..그래도 조금 괜찮은 영화.... 헌데 개요가 액션이 아니라 코미디 라고 해야 될것같은...,6
애덤 프로젝트,"어린 애덤이 중요한 역할이었는데, 워커로는 다소 부족했다.",6
뜨거운 피,자막 필요해요~무슨 말 하는지ㅠㅠ재밌게는 봤어요!,8
니 부모 얼굴이 보고 싶다,그래 부모가 애보다도 못해,6
"위대한 계약: 파주, 책, 도시",위대한 계약에 박수를 보냅니다. 책과 활자문화에 대한 온전하고 올바른 열정을 가진 분들이었기 때문에 이 멋진 출판도시가 만들어질 수 있었다고 생각합니다.,8
니 부모 얼굴이 보고 싶다,마지막 타이틀에 영화적 쾌감 굿근데.. 아들내미 뺨때리는거에 감정 깨짐..ㅠㅠ,6
공기살인,영화가 많이 알려지지 않은 것이 안타깝습니다.. 꼭 한 번씩 봤으면 하는 영화이고 이런 일이 반복되지 않길 바랍니다,10
로스트 시티,킬링타임용으로 딱 적당함^^,7
노바디,이거 액션씬 미쳤네요~시원하고 통쾌한 액션이 보고 싶다면 이 영화 강추합니다!중반이후로 넘어가면 진짜 지려요~~,8
먹고 기도하고 사랑하라,너어어어어무 지루하다. 너어어어무 지루해서 보다가 말았다. 영화를 보다보면 내가 좋아하는 여행지 이탈리아와 발리를 아주 지루한 여행지로 만들어버린다. 생각만해도 지루함이 느껴지는 영화다. 영화 포스터에도 적혀있듯이 이 영화를 보기 위해선 끔직하게 지루한 걸 견딜 수 있는 &amp;#39;용기가 필요&amp;#39;하다.  ㅎㅎㅎ,1
중경삼림,영상이 너무 이쁘고금성무 더 이쁘고내용은 귀여움 20대의 이별은 너무 아프긴하지 5.1일에 봤으면 더 좋았을것같다.하루만 참을껄,8
스텔라,스토리가 짱짱하고 좋은데요,10
봉오동 전투,감동적이었어요. 또 보고싶네요.,10
에펠,흠칫하는 야한요소를 왜 넣었는지 모르겠지만 계급사회의 부조리함과 에펠탑을 완성해야 한다는 건축가의 사명감은 잘 나온것 같아요,7
뷰티 인사이드,각자만의 그 시절 아름다운 기억들이 떠오르게 하는 아름다운 영화,10
킹메이커,"꼭 봐야하는 영화. 재미, 감동, 교훈까지 세마리를 잡았습니다. 우리가 살아온 과거의 민낯을 최고의 배우들을 통해보았다.",10
언차티드,돈 내고 하는 랜선 여행. 가장 인상적인 장면은 고양이 혼자 집에 남는 장면. 매력적인 여배우 한 명도 안 나옴. 흑인 여자 액션씬 너무 어설픔. 남미 여자 빨간옷 입고 뛸 때 스턴트 대역이 해주는 거 너무 티남. 뒤도 안돌아 봄. 게다가 레이시스트 월버그까지. 추천할 작품은 아님.,4
장수상회,인생에 소중한 사람들과의 추억들을 붙잡고 싶은 간절함... 특히 결말의 반전은... 너무 인상깊었다,10
야차,종북정부 집권 시기에 나온 영화답게 북한이랑 대놓고 붙어먹고 일본 배척하는 영화. 스토리는 워낙 쓰레기라 킬링타임으로도 써먹기 어려움.,1
이상한 나라의 수학자,진짜 일단 파이송이 너무 좋았고 학생으로서도 뭔가 수학공부가 하고싶어지게 만드는 느낌?..일단 너무 재밌었어여 여러번 보고싶은 영화,10
니 부모 얼굴이 보고 싶다,이건 진짜 우리 대한민국 현실을 보여주는거 같아서 더 몰입감이 높았다 .. 많은 생각을 전달하게 해주는 연출과 분위기도 좋았고 생각했던 일들이 어긋나는것도 다 뜻대로 되지 않는 사회를 보여주는거 같았다 ..,10
서울괴담,무서웠습니다  오흐정말,8
인민을 위해 복무하라,완전 미친영화다..관람인을 야한 것 못봐서 환장한 사람으로 아나..,2
부기나이트,"제 리뷰를 보고 뭐 그게 좋은거냐고 부정적으로 보는 사람도 있겠지만 사람은 누구나 경험과 가치관 등이 다 다릅니다. 범죄가 아닌 이상 다 나름대로 각자 삶이 있죠. 아무튼 아주 개인적인 리뷰를 하자면 이렇습니다. 솔직히 영화보면서 약간 소름이 돋았어요. 전혀 기대 안 하고 제목에 나이트가 들어가서 친숙한 기분에 감상을 시작했죠. 코로나 전에 나이트클럽을 정말 자주 다녔는데 물론 그 나이트가 그 나이트는 아니지만 아무튼 개인적으로 소름이 돋은 이유는 주인공이 그 나이트에서 만난 여성 2명 사이에서 갈팡질팡하는 설정, 흔히 간을 본다고 표현하는데요. 정말 그 부분은 제가 몇 번 겪었던 상황과 너무 똑같아서...특히 이미 숙박업소에 누군가와 갔는 데 갑자기 더 마음에 드는 이성한테 어디냐고 연락오는 그런 설정..소름.. 이 영화에서 여러 명의 여성이 등장합니다. 주인공의 첫사랑까지 등장하죠. 불과 한 번의 밤(우리의 밤은 길다) 시간에 주인공이 여러 여성과 겪는 에피소드가 흘러가면서 영화가 금방 지나가네요. 나이트클럽 룸에 가서 놀다가 잠시 초반에 만난 이성과 밖에 같이 나가서 커피를 마시고 다시 들어와서 다른 여성과 나가서는 술을 마시기도 하고 그러다 헤어지고 우연히 기대하지 않았던 다른 여성과 연락이 거의 아침에 닿아서 또 같이 있거나...나이트클럽이나 클럽에서 종종 일어날 수 있는 일 저는 개인적으로 그런 경험이 많아서 이 영화 자체가 너무 재미가 있었습니다. 그리고 그런 추억들을 다시 떠올릴 수 있어서 재밌게 봤어요. 단순한 재미를 떠나서 가만 생각을 해보니 사실 그런 흐름속에서 인생의 허무함(이성과의 짧은 만남에서 오는 허탈감과 현타)이 느껴졌어요. 예전 제 심리가 이 영화에 있다는 느낌이 들었네요. 지극히 개인적인 경험에 바탕을 둔 후기지만 별점 10개 드립니다. 예전에 비스트보이즈를 보고도 그 바닥 경험자라서 상당히 재밌게 보고 리얼리티를 약간 느끼긴 했었는데 이 영화 정도로 그렇지는 않았네요. 나중에 한 번 더 봐야겠어요",10
뜨거운 피,강릉보다 별로일까 싶었는데 강릉이 나을지도 모르겠단 생각이 들었다,5
앰뷸런스,볼거리로 좋았다.  조금 어지럽기도함. 킬타임.,8
신비한 동물들과 덤블도어의 비밀,덤블도어의 비밀은 알겠는데~ 이게 비밀인가? 싶은 영화~ 마법 영화에 정치얘기가 들어가니 스토리 전개가 늘어질 수밖에.. 관객들이 보고싶어하는 신비한 동물들은 많이 나오지 않는다.,4
신비한 동물들과 덤블도어의 비밀,해리포터 찐팬인데 해리포터만 계속 돌려보다가 이 영화 나와서 봤는데 해리포터에서 나오는 장면들도 나와서 너무 재미있게 잘봤네요~^^,10
스타워즈: 에피소드 1 -  보이지 않는 위험,스타워즈 시리즈중 독보적인 영상과 스토리 최고의 작품이라 인정합니다.,10
신비한 동물들과 덤블도어의 비밀,"기대를 안하고 봤더니 생각보다 볼 만 했어요! 특히 해리포터 시리즈를 사랑하시는 분들이라면 호그와트 장면들은 좋아할 수 밖에 없을듯 , , 하지만 저는 교수님 사랑얘기가 아니라 뉴트 티나의 사랑얘기를 보고싶어요 . . 그리고 동물칭구들아 사랑해",8
소리도 없이,분위기에 속고속이이는 가면같은 영화,8
수퍼 소닉2,귀여움과 화려함이 공존한 영화. 제작자들이 신경써서 만든게 느껴짐. 짐캐리의 오버액션은 언제봐도 웃김.ㅋㅋ중간에 소닉이 춤추는거만 참으면 성인도 즐길 수 있는 영화. 우리 소닉이 많이 봐주세요,10
봄날,무식하고 철없고 무뚝뚝한 애새키어른 ㅋㅋ,8
뜨거운 피,마약왕과 친구의 오마주인지.. 배우와 서사 각종 복선을 비롯한 여러요소들이 기시감도 들고 너무 많이 겹치네요.. 아쉽다..,2
니 부모 얼굴이 보고 싶다,현실은 훨씬 더 잔인하다.,7
콰이어트 플레이스,참나 저런상황에 부모로써 아~무생각없이애낳을생각했다는거 어이없고 소리안나게할려고맨발로다닌다고?발보호용으로 운동화를신어야하는거아닌가?아무리영화라지만 답답해서못봐주겠다,1
봄날,웃다 울다.. 넘 재밌게 잘 봤습니다. 코로나 이후로 처음보는 영화 대만족!!,10
신세계,올타임 레전드 이게 영화지,10
침묵,잼있어요 넷플로 꼭 보세요딱히 호불호 없이 볼수있는듯,10
베놈 2: 렛 데어 비 카니지,전편보다 못해요스토리전개도 그렇고 전편을넘잼나게봤었는덕,4
프라미싱 영 우먼,전하고자 하는 메세지는 알겠으나 굳이? 라는 생각이 든다. 킬링타임용으로 쓰기엔 무거운 한심한 여주인공이 나오는 b급 영화.,5
니 부모 얼굴이 보고 싶다,감독 얼굴을 보고 싶다.,2
365일: 오늘,내용도 별로이고 그냥 우리나라 성인물보는듯. 보다가 바로 그냥 나가기. 이런걸 영화라고.,2
서울괴담,재밋음 연기는 살짝 아쉽,9
크루엘라,오랜만에 진짜 재밌는 영화봤네,10
애나벨: 인형의 주인,개인적으로 재미있게 봤어요,9
투사부일체,어케 이거 5점대....대한민국 코미디 대명사인데,10
스텔라,코믹영화라더니 어디서 웃어야 되나?그나마 배우들 연기력 좋아서 1점요즘 세계영화시장에서 선전하고 있는 여타 한국영화들에 찬물을 끼얹는 -10점짜리 영화차라리 나오지나 말지 ㅠㅠ,1
야차,난 재밌게 봤는데 평점이 왜이러냐..2편 기대되네..,10
결혼 이야기,"다 늙은 노친네가  눈물질질 짜면서 봤다.어느  부부에게든  다가오는 온갖  트러블을 무사히 극복해 온 수 많은 부부들의 인내심을 치하 해 주고 싶었고,실감나게 연기해준 남녀 주인공의 열연도 좋았다.",9
나는 나를 해고하지 않는다,우리나라 노동환경에 대해서가슴이 너무 아파  멍해진다.일부 단면만 보여주었는데도많은걸 느끼게 해주는 영화인거 같다.,10
니 부모 얼굴이 보고 싶다,"설경구, 천우희, 문소리 별5개나머지는 미스캐스팅",2
서울괴담,볼게 배우들 얼굴밖에 없었어여;;,1
뜨거운 피,마지막 독백만 없었어도 좋았을 영화,6
죽지않는 인간들의 밤,재미난거 좋아하는데배아프게 계속웃기네요,10
범블비,평점 상향용 평점 상향용,10
버블,진짜 꼭 봐야하는 애니 안 보면 후회? 할 정도,9
니 부모 얼굴이 보고 싶다,진짜 화가나서 보는 내내 울었음!현실은 더 심할텐데..저런 부모 때문에 아이들은 악마가 된다는 말 격하게 공감한다.법이 강화되길 바라본다!,10
노트북,불륜을 아름답게 찍었네... 약혼남이 제일 불쌍하다,1
컨택트,너무 재밌게 봤어요. 엄마라 더 공감되고 슬프네요 ㅠㅠ,10
신비한 동물들과 덤블도어의 비밀,"과거 1, 2, 3편이 정리되는 느낌 계획했던대로 4,5편도 제작되었으면 좋겠다.",8
서울괴담,진짜 한국사람들. 주제도 모르고 평점란에 나불대는 것 보면 가관이다. 댓글란 좀 없애라,7
언차티드,누군가에겐 인디아나존스의 추억. 재미있네요.시대가 변해도 보물찾는 이야기는 재미있음,8
서울괴담,무서운 거 진짜 못 봐서 무서웠지만 재밌었다 오랜만에 재밌는 거 개봉해서 좋았다 여름에 가볍게 보기 좋은 듯,10
하울의 움직이는 성,만화캐릭터에게 사랑에 빠지게 할 수 있는건 감독의 연출력+연기력+그림체+목소리 +음악 모두 100점 ㅠㅠ 그냥 명작 ㅠㅠ,10
불도저에 탄 소녀,형사연기너무못함 ㅋㅋ,4
야차,진부한건 맞는데 영화관에서 개봉했으면 국내충무로가 댓글 커버 쳐줬을텐데 넷플릭스영화라 방어 하나도 없네 ㅋㅋㅋ 옛날 기준 7점 영화 ㅋ,7
로스트 시티,데드풀보다 개그가 재밌다,10
해리 포터와 비밀의 방,짱!!!! 너무 재미있다.,10
로스트 시티,그냥 시간때우기 좋았던 영화 입니다,6
버블,결국엔 일본 애니메이션의 재반복 그 이상을 못 넘기는 작품. 재밌는 사람도 있을 수 있음. 대중적인 작품인 것도 부정 못하고 미장센은 돈 쏟은 티가 날 정도로 수려함.근데 등장인물은 보기만 해도 관계 성격 활약이 예상이 갈 정도로 정형화된 캐릭터 그 자체인데스토리 라인도 찐따스러운 주인공이 어느 날 자신에게 관심 가지는 여성을 만나서 아싸를 탈출하는 뻔한 내용이 결국에 이 영화의 모든 것임. 결국 이 영화의 주제는 뭔데? 라고 물어보면 말할게 없음.넷플릭스 뒷배에 돈이 이만큼 들어가고 이름 있는 인력이랑 제작사 라면은 적어도 수익에 쫓겨 질낮은 작품을 만들었다는 일본 미디어업계의 변명은 해소될줄 알았음. 근데 웬걸 바뀐거라곤 때깔밖에 없네. 설정이 난해한걸 욕하는게 아님. 오히려 존나 단순하고 뻔해 빠진데다가 너무 노골적으로 오타쿠를 타게팅한 이 작품의 노선과 연출에 보면서 화가 나는건 오랜만이었음. 얼마든지 비틀어서 더 재밌게 만들 수도 있던 설정들이고 더 중요할 때 집중해서 보여줄 수 있는 자본까지 갖춰 놓고 대체 왜 양산형 + 라노벨식 아포칼립스같은 히키코모리식 망상을 선택했는지.. 일본 특유의 이질적인 감성을 싫어하는 사람은 끝까지 보기 힘들 것 같음. 그냥 얘네들은 마음껏 파쿠르하는 애니를 만들고 싶었던 나머지 다른 걸 신경 안 쓴게 아닐까.,2
불도저에 탄 소녀,별기대안하고 봤는데 재밌네요여주인공 연기잘하네요,9
위대한 독재자,"웬지 인간미가 넘치는 영화.친근하고 풍자적이며 재미가 있는 영화.마지막 연설부분이 하이라이트. 소련과 일본 군부의 군례를 하는 장면도 재밌다.잔을 들어 바닥에 던져 깨고, 엉덩이를 빼며 머리를 들고 수직으로 내리며 인사한다. 발레하는 모습, 판토마임하는 듯한 몸짓, 대사가 아니라 몸짓으로 소통하려는연기가 인상깊다.마지막 대사는 영화 돈룩업!을 떠오르게 한다.",10
서울괴담,진짜 더럽게 재미없습니다 15000원 너무 아깝네요,1
신비한 동물들과 덤블도어의 비밀,평점은 낮은데 갠적으로는 재미있었음,10
몬스터 아카데미,개연성 어디감?ㄹㅇ 돈낭비임 재미없음..ㅋㅋ,1
앰뷸런스,마이클 베이가 이런 구린 영화를... 차라리 키아누리브스의 스피드를 한번 더 보는 걸 추천합니다 이건 90년대때 만들었어야하는 스토리네요,4
너의 이름은.,그냥 봐야되는거 이유없다 그냥 봐야 되는애니...,10
신비한 동물들과 덤블도어의 비밀,저는 이영화팬이라서 너무 재밌게 보앗네요 굿굿 기린도 넘넘 귀여워용,10
박열,박열이 관복입고 나올때 빵터졌다 ㅋㅋ,10
해피 엔드,"요즘 같은 시대에 바람이 뭐라고.. 걍 이혼하면 되는데... 최민식이 흘리는 악어의 눈물을 보았다. 모범적으로 보이고 내성적인 사람이 사람 잡는다고,,,입장 바꿔 남자가 돈 번다 유세 떨면서 밖으로 돌다 바람 핀다고 아내들이 다 남편을 죽이진 않는다. 왜 제목이 해피엔딩인지 모르겠네? 전도연은 개죽음에 주진모는 억울한 옥살이.. 누가 과연 악마인가. 주진모는 이 작품으로 떠서 어깨뽕 들어가서 장동건과 함께 몸과 입을 함부로 굴리더니 계정 해킹으로 까발려진 이후 활동이 없네~~~",2
부기나이트,"의외로 재밌네요. 남자 시점인지라 여자가 보기엔 별로일 수 있겠지만, 웃기고 시간가는 줄 몰랐습니다.",8
언차티드,언차티드 게임을 외전까지 즐긴 게이머로서 팬심으로 끝까지 봤습니다약간 아쉬운점이 많았지만 나름 즐겁게 봤습니다마지막 엔딩크레딧에서 나오던 ost는 처음 게임을 즐기던 느낌으로 돌아가게 해주네요,7
니 부모 얼굴이 보고 싶다,어른들의 위선이 적나라하게 보여진 영화 잘 봤습니다,8
더 배트맨,준수한 트릴로지로 발전할수 있을지도. 다크나이트도 첫작은 별로였다.,8
애나벨,연출 재미 엉망이군 집중도 안됨,5
핀두스 이야기,바그다드카페 여주인공이 나오네요 많이 늙었지만 알아볼수있네요,8
극장판 주술회전 0,연출이 좋았고 잘몰라도 어느정도 몰입할수 있었다,9
나일 강의 죽음,~,7
야차,스토리가 친북 반일이라고 헛소리하며 1점 주는 놈들이 있네...영화보면서 정치하냐?,10
니 부모 얼굴이 보고 싶다,반전이 여러번 나오고 현실감있는 스토리와 연기가 무서웠다,8
더 배트맨,"엄청 개졸작이네요 ost는 어울리지도 않고, 배트맨 복장은 테러블이고 시나리오도 뭔소리인지~ 간만에 보는 3류 배트남",4
광대: 소리꾼,광대소리꾼~ 이렇게 좋은  영화를 이제야봣네요~ 너무 감동적입니다~^^,10
봄날,씁쓸한 인생을 보여주는 연기였다.,7
다크 앤드 위키드,굳,10
서울괴담,영화관 에서 본 영화중 제일 재미 없었음,1
불도저에 탄 소녀,빵에 계신 mb 생각나네....,10
야차,잼난데 점수 넘낮네 7점대 이상은 충분,10
언니,이시영이 한국 여자액션배우로 우뚝선 영화. 정말 재밌게 봤다. 스토리 이야기하지 마라. 잼있으면 된거아냐?,10
버블,영상미 훌륭하고 ost 지립니다..,10
뜨거운 피,어제 봤는데 정우 연기 다시 보게 되었다. 스토리가 좋아서 보니 원작이 따로 있더라 암튼 간만에 재미좋은 휴먼 느와르? 였음,8
서울괴담,진짜 존나재미없다 하호하호,1
